,statsbomb_xg,goal,player_shot,team,location_x,location_y,shot_distance,shot_angle,bodypart,technique,first_time,state_of_play,assist,assist_state_of_play
3016,0.06941012,False,Kit Graham,Tottenham Hotspur Women,110.5,32.2,12.29186723000212,50.61,Left Foot,Half Volley,False,Open Play Shot,Unassisted,No Assist
3017,0.14003514,False,Amalie Vevle Eikeland,Reading WFC,109.5,42.6,10.817116066678775,103.91,Head,Normal Shot,False,Open Play Shot,Cross,Set Piece - Throw In
3018,0.017954586,False,Josanne Potter,Reading WFC,99.0,43.8,21.341040274550817,100.26,Left Foot,Half Volley,True,Open Play Shot,Unassisted,No Assist
3019,0.07096974,False,Ria Percival,Tottenham Hotspur Women,107.9,42.2,12.298373876248837,100.3,Right Foot,Half Volley,True,Open Play Shot,Cross,Set Piece - Throw In
3020,0.027472392,False,Gemma Suzanne Davison,Tottenham Hotspur Women,96.5,24.9,27.933134446388216,57.28,Right Foot,Normal Shot,False,Open Play Shot,High Pass,Set Piece - Goal Kick
3021,0.08583843000000001,False,Rianna Dean,Tottenham Hotspur Women,113.5,41.7,6.718630812896332,104.66,Right Foot,Half Volley,True,Open Play Shot,Unassisted,No Assist
3022,0.013297622,False,Anna Filbey,Tottenham Hotspur Women,89.0,41.6,31.041262860908226,92.95,Right Foot,Normal Shot,False,Open Play Shot,Ground Pass,Set Piece - Corner
3023,0.03011658,False,Ria Percival,Tottenham Hotspur Women,105.1,52.7,19.578048932414085,130.44,Left Foot,Normal Shot,False,Open Play Shot,Unassisted,No Assist
3024,0.15813702000000002,False,Amalie Vevle Eikeland,Reading WFC,111.5,32.7,11.204463396343439,49.34,Right Foot,Volley,True,Open Play Shot,Cross,Open Play Assist
3025,0.025691146,False,Fara Williams,Reading WFC,96.4,34.4,24.255308697272845,76.65,Right Foot,Normal Shot,False,Open Play Shot,Ground Pass,Open Play Assist
3026,0.029231925,False,Kit Graham,Tottenham Hotspur Women,95.3,44.9,25.181342299408907,101.22,Left Foot,Half Volley,False,Open Play Shot,High Pass,Set Piece - Free Kick
3027,0.022922754,False,Brooke Chaplen,Reading WFC,93.4,34.3,27.20386002022507,77.91,Right Foot,Normal Shot,False,Open Play Shot,Low Pass,Set Piece - Throw In
3028,0.05103182,False,Remi Allen,Reading WFC,101.6,43.5,18.72992258392971,100.77,Right Foot,Normal Shot,False,Open Play Shot,Ground Pass,Set Piece - Free Kick
3029,0.021799197000000003,False,Fara Williams,Reading WFC,100.6,53.6,23.692192806914267,125.03,Right Foot,Normal Shot,True,Open Play Shot,Unassisted,No Assist
3030,0.03465953,True,Siri Worm,Tottenham Hotspur Women,102.0,52.6,21.97180010832067,124.99,Left Foot,Normal Shot,False,Open Play Shot,Cross,Set Piece - Corner
3031,0.3939137,False,Amalie Vevle Eikeland,Reading WFC,109.9,43.4,10.656922632730328,108.6,Right Foot,Normal Shot,True,Open Play Shot,Low Pass,Open Play Assist
3032,0.013578463,False,Jade Moore,Reading WFC,93.5,24.3,30.801623333843953,59.36,Right Foot,Normal Shot,True,Open Play Shot,Low Pass,Set Piece - Throw In
3033,0.12037659,False,Brooke Chaplen,Reading WFC,108.3,27.9,16.83151805393679,44.04,Left Foot,Normal Shot,True,Open Play Shot,Ground Pass,Open Play - Counter Attack
3034,0.019089093,False,Rachel Rowe,Reading WFC,91.5,56.2,32.782464824963974,119.61,Right Foot,Normal Shot,False,Open Play Shot,Low Pass,Open Play Assist
3035,0.06183545,False,Fara Williams,Reading WFC,101.5,40.5,18.506755523321747,91.55,Right Foot,Normal Shot,True,Open Play Shot,Ground Pass,Set Piece - Throw In
3036,0.23337598,False,Rachel Rowe,Reading WFC,116.3,42.9,4.701063709417264,128.09,Head,Normal Shot,False,Open Play Shot,Cross,Set Piece - Corner
3037,0.78094447,True,Josanne Potter,Reading WFC,118.5,36.1,4.178516483155234,21.04,Right Foot,Normal Shot,True,Open Play Shot,Unassisted,No Assist
3038,0.24145512,False,Remi Allen,Reading WFC,114.5,41.1,5.608921464952063,101.31,Head,Normal Shot,False,Open Play Shot,High Pass,Set Piece - Throw In
3039,0.59705836,True,Remi Allen,Reading WFC,117.5,39.9,2.5019992006393608,87.71,Right Foot,Half Volley,True,Open Play Shot,Low Pass,Set Piece - Free Kick
3040,0.08711476,False,Amalie Vevle Eikeland,Reading WFC,108.2,51.3,16.337992532744035,133.76,Right Foot,Normal Shot,False,Open Play Shot,Low Pass,Set Piece - Throw In
3041,0.05742817400000001,False,Amalie Vevle Eikeland,Reading WFC,104.0,31.9,17.93348822733603,63.15,Right Foot,Normal Shot,False,Open Play Shot,Unassisted,No Assist
3042,0.5015175999999999,True,Amalie Vevle Eikeland,Reading WFC,112.8,41.3,7.3164198895361405,100.23,Right Foot,Normal Shot,False,Open Play Shot,Ground Pass,Open Play - Counter Attack
3043,0.032230053,False,Ria Percival,Tottenham Hotspur Women,95.7,49.4,26.054750046776494,111.15,Right Foot,Normal Shot,True,Open Play Shot,Ground Pass,Open Play Assist
3044,0.11187114,False,Adriana Leon,West Ham United LFC,111.6,40.5,8.414867794564577,93.41,Head,Normal Shot,False,Open Play Shot,Cross,Set Piece - Throw In
3045,0.054896653,False,Martha Thomas,West Ham United LFC,106.5,33.2,15.11588568361113,63.27,Right Foot,Normal Shot,True,Open Play Shot,Low Pass,Set Piece - Corner
3046,0.6845532999999999,False,Rosella Ayane,West Ham United LFC,106.0,38.9,14.04314779527724,85.51,Right Foot,Normal Shot,True,Open Play Shot,Unassisted,No Assist
3047,0.01940547,False,Josie Green,Tottenham Hotspur Women,91.3,37.4,28.81752938750996,84.82,Right Foot,Normal Shot,False,Open Play Shot,Unassisted,No Assist
3048,0.015051011000000001,False,Rosella Ayane,West Ham United LFC,89.9,41.5,30.13735223937232,92.85,Left Foot,Normal Shot,False,Open Play Shot,Unassisted,No Assist
3049,0.077150434,False,Rosella Ayane,Tottenham Hotspur Women,104.6,26.7,20.348218595248085,49.18,Left Foot,Normal Shot,False,Open Play Shot,Ground Pass,Set Piece - Free Kick
3050,0.01683118,True,Emma Mitchell,Tottenham Hotspur Women,98.7,58.4,28.14693589007513,130.82,Left Foot,Normal Shot,False,Open Play Shot,Unassisted,No Assist
3051,0.035307873000000004,False,Rosella Ayane,Tottenham Hotspur Women,91.5,45.2,28.97050223934684,100.34,Right Foot,Normal Shot,False,Open Play Shot,Ground Pass,Open Play Assist
3052,0.0055118036,False,Kate Longhurst,West Ham United LFC,85.7,42.9,34.42237644323819,94.83,Right Foot,Half Volley,True,Open Play Shot,Unassisted,No Assist
3053,0.011250702,False,Adriana Leon,West Ham United LFC,93.1,20.6,33.165795633453456,54.2,Right Foot,Normal Shot,False,Open Play Shot,Ground Pass,Set Piece - Throw In
3054,0.022400638,False,Kit Graham,Tottenham Hotspur Women,98.7,61.5,30.264500656709995,135.27,Left Foot,Normal Shot,False,Set Piece - Direct Free Kick,Unassisted,No Assist
3055,0.053464662,False,Kit Graham,Tottenham Hotspur Women,109.0,40.9,11.03675676999362,94.68,Head,Normal Shot,False,Open Play Shot,Cross,Open Play Assist
3056,0.08253053,False,Tessel Middag,West Ham United LFC,108.7,42.1,11.493476410555685,100.53,Head,Normal Shot,False,Open Play Shot,Cross,Set Piece - Free Kick
3057,0.015616298999999997,False,Rosella Ayane,Tottenham Hotspur Women,104.8,59.5,24.724279564832624,142.06,Right Foot,Normal Shot,False,Open Play Shot,Ground Pass,Open Play Assist
3058,0.01654901,False,Rosella Ayane,Tottenham Hotspur Women,90.9,46.8,29.883942176359525,103.15,Right Foot,Normal Shot,False,Open Play Shot,Unassisted,No Assist
3059,0.032594316000000005,False,Rosella Ayane,Tottenham Hotspur Women,99.6,50.2,22.80789337049786,116.57,Left Foot,Half Volley,True,Open Play Shot,High Pass,Set Piece - Free Kick
3060,0.041790128,False,Rianna Dean,Tottenham Hotspur Women,108.2,48.4,14.484474446799922,125.45,Right Foot,Half Volley,True,Open Play Shot,Unassisted,No Assist
3061,0.033018984,False,Kit Graham,Tottenham Hotspur Women,103.1,56.9,23.90020920410531,135.0,Left Foot,Normal Shot,True,Open Play Shot,Ground Pass,Open Play Assist
3062,0.011300693,False,Ashleigh Neville,Tottenham Hotspur Women,86.6,52.7,35.73303793410239,110.82,Right Foot,Normal Shot,False,Open Play Shot,Ground Pass,Open Play Assist
