,inside_18,first_touch,Open Play,Open Play - Counter Attack,Open Play - Unassisted,Set Piece - Corner,Set Piece - Direct Free Kick,Set Piece - Free Kick,Set Piece - Goal Kick,Set Piece - Penalty,Set Piece - Throw In,time,shot_distance,shot_angle
5612,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20491077020346815,-0.488079853452673,-0.5024448076361447
5613,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20491077020346815,-0.18913171287679262,-0.3272535045287076
5614,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.061991288571767715,-0.465446458405307,-0.8666893519756814
5615,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08092819305993272,-0.902196413014948,-1.0256592381287264
5616,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.22384767469163314,-0.29796671883361825,1.368621904339582
5617,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7240658604025847,-0.8374720892206405,-1.1489420069821081
5618,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0099048236659856,-1.0970295050357068,0.15496498129731923
5619,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2242840461135363,1.9279166315329785,0.4383973757186107
5620,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2242840461135363,-1.1535989646697844,0.57436234328179
5621,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.6530424910086374,-0.8768966223315697,0.12104747311995329
5622,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.491186104888772,0.11367342106142272,1.0554010896929518
5623,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.4197263640729219,-0.37788714190407496,-1.359230557681776
