,location_x,location_y,time,statsbomb_xg,outcome,player,team,bodypart,technique,first_touch,state_of_play,assist1,assist2,assist3,assist_state_of_play,inside_18_width,inside_18_depth,inside_18,shot_distance,shot_angle
6035,103.0,50.0,2021-06-14 00:39:14.453,0.08247989,Goal,Samantha Kerr,Chicago Red Stars,Right Foot,Normal,False,Open Play,Low Pass,,Cross,Regular Play,True,True,True,19.72308292331602,120.47
6036,107.0,61.0,2021-06-14 00:40:27.617,0.012883259000000001,Blocked,Yuki Nagasato,Chicago Red Stars,Right Foot,Normal,False,Open Play,Ground Pass,,,From Counter,False,True,False,24.698178070456937,148.24
6037,115.0,44.0,2021-06-14 00:42:08.970,0.2962738,Wayward,Alyssa Mautz,Chicago Red Stars,Right Foot,Normal,True,Open Play,High Pass,,,From Free Kick,True,True,True,6.4031242374328485,128.66
6038,118.0,38.0,2021-06-14 00:42:10.560,0.5225662,Saved,Julie Ertz,Chicago Red Stars,Right Foot,Normal,False,Open Play,,,,,True,True,True,2.8284271247461903,45.0
6039,110.0,30.0,2021-06-14 00:44:53.677,0.13367093,Saved,Imani Dorsey,Sky Blue FC,Left Foot,Normal,False,Open Play,Ground Pass,,,From Throw In,True,True,True,14.142135623730951,45.0
6040,108.0,52.0,2021-06-14 00:00:21.835,0.056568325,Goal,Samantha Kerr,Chicago Red Stars,Right Foot,Normal,False,Open Play,High Pass,,,From Counter,True,True,True,16.97056274847714,135.0
6041,99.0,48.0,2021-06-14 00:01:55.428,0.16368431,Off T,Samantha Kerr,Chicago Red Stars,Right Foot,Normal,False,Open Play,Low Pass,,,Regular Play,True,False,False,22.47220505424423,110.85
6042,111.0,26.0,2021-06-14 00:02:37.449,0.023159688,Off T,Carli Lloyd,Sky Blue FC,Head,Normal,False,Open Play,High Pass,,,From Throw In,True,True,True,16.64331697709324,32.74
6043,91.0,32.0,2021-06-14 00:11:00.652,0.022819579000000003,Off T,Danielle Colaprico,Chicago Red Stars,Right Foot,Normal,False,Open Play,Ground Pass,,,From Throw In,True,False,False,30.083217912982647,74.58
6044,105.0,47.0,2021-06-14 00:17:27.948,0.27449474,Goal,Samantha Kerr,Chicago Red Stars,Right Foot,Normal,False,Open Play,High Pass,,,Regular Play,True,True,True,16.55294535724685,115.02
6045,111.0,24.0,2021-06-14 00:18:36.645,0.23728302,Saved,Samantha Kerr,Chicago Red Stars,Left Foot,Normal,False,Open Play,High Pass,,,From Throw In,True,True,True,18.35755975068582,29.36
6046,95.0,29.0,2021-06-14 00:19:48.948,0.019774351000000003,Off T,Madison Tiernan,Sky Blue FC,Right Foot,Normal,False,Open Play,Ground Pass,,,From Corner,True,False,False,27.313000567495326,66.25
