,statsbomb_xg,goal,time,player,team,shot_distance,inside_18,shot_angle,bodypart,bodypart_angle,technique,first_touch,assist,state_of_play
4819,0.14666500000000002,False,41,Rachel Williams,Birmingham City WFC,18.78643127366132,False,95.5,Right Foot,Right - Outside Foot,Ground,False,Unassisted,Open Play - Unassisted
4820,0.026111953,False,11,Yana Daniels,Birmingham City WFC,30.70260575260673,False,53.88,Right Foot,Left - Inside Foot,Ground,False,Unassisted,Open Play - Unassisted
4821,0.025641242,False,16,Claudia Walker,Birmingham City WFC,24.10082986123092,False,143.61,Right Foot,Right - Outside Foot,Ground,False,Ground Pass,Open Play - Counter Attack
4822,0.42095166,True,30,Ebony Salmon,Bristol City WFC,15.339491516996254,True,63.27,Right Foot,Left - Inside Foot,Ground,False,Through Ball,Open Play
4823,0.01532642,False,39,Olivia Chance,Bristol City WFC,31.28226334522488,False,58.6,Left Foot,Left - Outside Foot,Ground,False,Unassisted,Open Play - Unassisted
4824,0.4094929,False,4,Fara Williams,Reading WFC,10.25524256173398,True,66.43,Left Foot,Left - Outside Foot,Ground,False,Unassisted,Open Play - Unassisted
4825,0.051829778,False,6,Brooke Chaplen,Arsenal WFC,19.46124353683495,True,143.78,Right Foot,Right - Outside Foot,Ground,False,Unassisted,Open Play - Unassisted
4826,0.033612460000000004,False,7,Fara Williams,Reading WFC,23.307724041613326,False,54.61,Right Foot,Left - Inside Foot,Ground,False,Unassisted,Open Play - Unassisted
4827,0.019884119,False,25,Vivianne Miedema,Arsenal WFC,28.53769437077916,False,58.76,Right Foot,Left - Inside Foot,Ground,False,Ground Pass,Set Piece - Throw In
4828,0.45790195,True,27,Vivianne Miedema,Arsenal WFC,12.932130528261766,True,58.28,Right Foot,Left - Inside Foot,Ground,False,Through Ball,Open Play - Counter Attack
4829,0.014475928,False,28,Angharad James,Reading WFC,36.18134878635677,False,119.47,Right Foot,Right - Outside Foot,Ground,False,Ground Pass,Open Play
4830,0.010007078,False,32,Bethany Mead,Arsenal WFC,30.946728421595715,False,86.85,Right Foot,Left - Inside Foot,Ground,False,Unassisted,Open Play - Unassisted
4831,0.03863999,False,35,Bethany Mead,Arsenal WFC,26.350332066218826,False,68.4,Right Foot,Left - Inside Foot,Ground,False,Ground Pass,Set Piece - Throw In
4832,0.12443616,True,36,Kim Little,Arsenal WFC,11.720068259186888,True,143.33,Right Foot,Right - Outside Foot,Ground,False,High Pass,Set Piece - Corner
4833,0.013487803000000001,False,39,Mayumi Pacheco,Reading WFC,35.1931811577186,False,58.48,Left Foot,Left - Outside Foot,Ground,True,Ground Pass,Open Play
4834,0.017725477,False,42,Fara Williams,Reading WFC,34.3233156906497,False,82.13,Right Foot,Left - Inside Foot,Ground,False,Unassisted,Set Piece - Direct Free Kick
4835,0.09855135,False,47,Vivianne Miedema,Arsenal WFC,15.259423318068082,True,151.42,Right Foot,Right - Outside Foot,Ground,True,Through Ball,Open Play
4836,0.04772025,False,1,Lisa-Marie Utland,Reading WFC,12.151131634543349,True,50.68,Head,Left - Head,Ground,False,Cross,Open Play
4837,0.014466958,False,3,Fara Williams,Reading WFC,32.9548175537356,False,86.69,Left Foot,Left - Outside Foot,Ground,False,Low Pass,Set Piece - Throw In
4838,0.06625724599999999,False,9,Fara Williams,Reading WFC,10.650821564555477,True,124.29,Head,Right - Head,Ground,False,Cross,Set Piece - Throw In
4839,0.04095514,False,14,Fara Williams,Reading WFC,18.902909828912584,True,119.82,Right Foot,Right - Outside Foot,Ground,False,Ground Pass,Open Play
4840,0.08871333,False,14,Jade Moore,Reading WFC,21.77062240727169,False,100.59,Left Foot,Right - Inside Foot,Ground,True,Unassisted,Open Play - Unassisted
4841,0.06639222,False,14,Lisa-Marie Utland,Reading WFC,18.23869512876401,True,76.04,Right Foot,Left - Inside Foot,Volley,False,Unassisted,Open Play - Unassisted
4842,0.027708597,False,16,Jade Moore,Reading WFC,24.63757293241361,False,72.52,Right Foot,Left - Inside Foot,Ground,False,Unassisted,Open Play - Unassisted
4843,0.023207884,False,16,Remi Allen,Reading WFC,18.137254478007414,True,41.42,Left Foot,Left - Outside Foot,Ground,False,Unassisted,Open Play - Unassisted
4844,0.08916693,False,19,Lisa-Marie Utland,Arsenal WFC,11.315917991926234,True,78.79,Right Foot,Left - Inside Foot,Volley,False,Unassisted,Open Play - Unassisted
4845,0.044259604,False,20,Fara Williams,Reading WFC,25.497450852977448,False,73.13,Left Foot,Left - Outside Foot,Ground,False,Ground Pass,Open Play
4846,0.06362053,False,22,Danielle van de Donk,Arsenal WFC,9.404786015641193,True,88.17,Head,Left - Head,Ground,False,Cross,Set Piece - Free Kick
4847,0.041817814,False,30,Fara Williams,Reading WFC,32.10249211509909,False,90.71,Right Foot,Right - Outside Foot,Ground,True,High Pass,Open Play
